ts_utc,outcome,bid_px,ask_px,bid_size,ask_size
2026-03-26 18:48:06.700000+00:00,NO,0.91,0.92,141361.41,57464.82
2026-03-26 18:48:06.700000+00:00,NO,0.9,0.93,89505.83,75254.42
2026-03-26 18:48:06.700000+00:00,NO,0.89,0.94,53567.99,173044.23
2026-03-26 18:48:06.700000+00:00,NO,0.88,0.95,43811.16,101753.02
2026-03-26 18:48:06.700000+00:00,NO,0.87,0.96,19014.1,15007.74
2026-03-26 18:48:06.700000+00:00,NO,0.86,0.97,28075.14,16969.35
2026-03-26 18:48:06.700000+00:00,NO,0.85,0.98,24478.59,541844.8
2026-03-26 18:48:06.700000+00:00,NO,0.84,0.99,11598.51,2339480.27
2026-03-26 18:48:06.700000+00:00,NO,0.83,,6396.42,
2026-03-26 18:48:06.700000+00:00,NO,0.82,,20317.85,
2026-03-26 18:48:06.700000+00:00,NO,0.81,,4362.74,
2026-03-26 18:48:06.700000+00:00,NO,0.8,,32079.81,
2026-03-26 18:48:06.700000+00:00,NO,0.79,,1865.03,
2026-03-26 18:48:06.700000+00:00,NO,0.78,,2632.07,
2026-03-26 18:48:06.700000+00:00,NO,0.77,,3944.08,
2026-03-26 18:48:06.700000+00:00,NO,0.76,,1650.0,
2026-03-26 18:48:06.700000+00:00,NO,0.75,,1680.0,
2026-03-26 18:48:06.700000+00:00,NO,0.74,,3829.69,
2026-03-26 18:48:06.700000+00:00,NO,0.73,,3711.0,
2026-03-26 18:48:06.700000+00:00,NO,0.72,,7284.47,
2026-03-26 18:48:06.700000+00:00,NO,0.71,,800.0,
2026-03-26 18:48:06.700000+00:00,NO,0.7,,1798.48,
2026-03-26 18:48:06.700000+00:00,NO,0.69,,1230.0,
2026-03-26 18:48:06.700000+00:00,NO,0.68,,975.0,
2026-03-26 18:48:06.700000+00:00,NO,0.67,,1213.0,
2026-03-26 18:48:06.700000+00:00,NO,0.66,,2200.0,
2026-03-26 18:48:06.700000+00:00,NO,0.65,,60.82,
2026-03-26 18:48:06.700000+00:00,NO,0.64,,230.0,
2026-03-26 18:48:06.700000+00:00,NO,0.63,,847.0,
2026-03-26 18:48:06.700000+00:00,NO,0.62,,200.0,
2026-03-26 18:48:06.700000+00:00,NO,0.61,,1049.57,
2026-03-26 18:48:06.700000+00:00,NO,0.6,,7323.97,
2026-03-26 18:48:06.700000+00:00,NO,0.58,,500.0,
2026-03-26 18:48:06.700000+00:00,NO,0.56,,1220.7,
2026-03-26 18:48:06.700000+00:00,NO,0.55,,1011.36,
2026-03-26 18:48:06.700000+00:00,NO,0.54,,35.0,
2026-03-26 18:48:06.700000+00:00,NO,0.52,,483.4,
2026-03-26 18:48:06.700000+00:00,NO,0.51,,2245.52,
2026-03-26 18:48:06.700000+00:00,NO,0.5,,15875.95,
2026-03-26 18:48:06.700000+00:00,NO,0.46,,318.68,
2026-03-26 18:48:06.700000+00:00,NO,0.45,,2126.0,
2026-03-26 18:48:06.700000+00:00,NO,0.44,,3009.64,
2026-03-26 18:48:06.700000+00:00,NO,0.41,,80.48,
2026-03-26 18:48:06.700000+00:00,NO,0.4,,199.68,
2026-03-26 18:48:06.700000+00:00,NO,0.37,,758.78,
2026-03-26 18:48:06.700000+00:00,NO,0.36,,1759.12,
2026-03-26 18:48:06.700000+00:00,NO,0.35,,500.0,
2026-03-26 18:48:06.700000+00:00,NO,0.34,,285.0,
2026-03-26 18:48:06.700000+00:00,NO,0.33,,606.06,
2026-03-26 18:48:06.700000+00:00,NO,0.32,,799.62,
2026-03-26 18:48:06.700000+00:00,NO,0.31,,3375.81,
2026-03-26 18:48:06.700000+00:00,NO,0.3,,49425.0,
2026-03-26 18:48:06.700000+00:00,NO,0.29,,48.0,
2026-03-26 18:48:06.700000+00:00,NO,0.28,,1250.91,
2026-03-26 18:48:06.700000+00:00,NO,0.26,,846.0,
2026-03-26 18:48:06.700000+00:00,NO,0.25,,518.33,
2026-03-26 18:48:06.700000+00:00,NO,0.24,,4337.0,
2026-03-26 18:48:06.700000+00:00,NO,0.23,,8722.29,
2026-03-26 18:48:06.700000+00:00,NO,0.22,,3333.0,
2026-03-26 18:48:06.700000+00:00,NO,0.21,,58821.44,
2026-03-26 18:48:06.700000+00:00,NO,0.2,,2109.56,
2026-03-26 18:48:06.700000+00:00,NO,0.19,,1936.42,
2026-03-26 18:48:06.700000+00:00,NO,0.18,,433.33,
2026-03-26 18:48:06.700000+00:00,NO,0.16,,416.0,
2026-03-26 18:48:06.700000+00:00,NO,0.15,,3047.61,
2026-03-26 18:48:06.700000+00:00,NO,0.14,,2583.56,
2026-03-26 18:48:06.700000+00:00,NO,0.13,,676.0,
2026-03-26 18:48:06.700000+00:00,NO,0.12,,128.0,
2026-03-26 18:48:06.700000+00:00,NO,0.11,,150.0,
2026-03-26 18:48:06.700000+00:00,NO,0.1,,28417.5,
2026-03-26 18:48:06.700000+00:00,NO,0.09,,4943.31,
2026-03-26 18:48:06.700000+00:00,NO,0.08,,757.96,
2026-03-26 18:48:06.700000+00:00,NO,0.07,,1139.86,
2026-03-26 18:48:06.700000+00:00,NO,0.06,,5673.96,
2026-03-26 18:48:06.700000+00:00,NO,0.05,,31300.54,
2026-03-26 18:48:06.700000+00:00,NO,0.04,,1512.0,
2026-03-26 18:48:06.700000+00:00,NO,0.03,,260.0,
2026-03-26 18:48:06.700000+00:00,NO,0.02,,6265.0,
2026-03-26 18:48:06.700000+00:00,NO,0.01,,36108.87,
2026-03-26 18:48:06.700000+00:00,YES,0.08,0.09,57464.82,141361.41
2026-03-26 18:48:06.700000+00:00,YES,0.07,0.1,75254.42,89505.83
2026-03-26 18:48:06.700000+00:00,YES,0.06,0.11,173044.23,53567.99
2026-03-26 18:48:06.700000+00:00,YES,0.05,0.12,101753.02,43811.16
2026-03-26 18:48:06.700000+00:00,YES,0.04,0.13,15007.74,19014.1
2026-03-26 18:48:06.700000+00:00,YES,0.03,0.14,16969.35,28075.14
2026-03-26 18:48:06.700000+00:00,YES,0.02,0.15,541844.8,24478.59
2026-03-26 18:48:06.700000+00:00,YES,0.01,0.16,2339480.27,11598.51
2026-03-26 18:48:06.700000+00:00,YES,,0.17,,6396.42
2026-03-26 18:48:06.700000+00:00,YES,,0.18,,20317.85
2026-03-26 18:48:06.700000+00:00,YES,,0.19,,4362.74
2026-03-26 18:48:06.700000+00:00,YES,,0.2,,32079.81
2026-03-26 18:48:06.700000+00:00,YES,,0.21,,1865.03
2026-03-26 18:48:06.700000+00:00,YES,,0.22,,2632.07
2026-03-26 18:48:06.700000+00:00,YES,,0.23,,3944.08
2026-03-26 18:48:06.700000+00:00,YES,,0.24,,1650.0
2026-03-26 18:48:06.700000+00:00,YES,,0.25,,1680.0
2026-03-26 18:48:06.700000+00:00,YES,,0.26,,3829.69
2026-03-26 18:48:06.700000+00:00,YES,,0.27,,3711.0
2026-03-26 18:48:06.700000+00:00,YES,,0.28,,7284.47
2026-03-26 18:48:06.700000+00:00,YES,,0.29,,800.0
2026-03-26 18:48:06.700000+00:00,YES,,0.3,,1798.48
2026-03-26 18:48:06.700000+00:00,YES,,0.31,,1230.0
2026-03-26 18:48:06.700000+00:00,YES,,0.32,,975.0
2026-03-26 18:48:06.700000+00:00,YES,,0.33,,1213.0
2026-03-26 18:48:06.700000+00:00,YES,,0.34,,2200.0
2026-03-26 18:48:06.700000+00:00,YES,,0.35,,60.82
2026-03-26 18:48:06.700000+00:00,YES,,0.36,,230.0
2026-03-26 18:48:06.700000+00:00,YES,,0.37,,847.0
2026-03-26 18:48:06.700000+00:00,YES,,0.38,,200.0
2026-03-26 18:48:06.700000+00:00,YES,,0.39,,1049.57
2026-03-26 18:48:06.700000+00:00,YES,,0.4,,7323.97
2026-03-26 18:48:06.700000+00:00,YES,,0.42,,500.0
2026-03-26 18:48:06.700000+00:00,YES,,0.44,,1220.7
2026-03-26 18:48:06.700000+00:00,YES,,0.45,,1011.36
2026-03-26 18:48:06.700000+00:00,YES,,0.46,,35.0
2026-03-26 18:48:06.700000+00:00,YES,,0.48,,483.4
2026-03-26 18:48:06.700000+00:00,YES,,0.49,,2245.52
2026-03-26 18:48:06.700000+00:00,YES,,0.5,,15875.95
2026-03-26 18:48:06.700000+00:00,YES,,0.54,,318.68
2026-03-26 18:48:06.700000+00:00,YES,,0.55,,2126.0
2026-03-26 18:48:06.700000+00:00,YES,,0.56,,3009.64
2026-03-26 18:48:06.700000+00:00,YES,,0.59,,80.48
2026-03-26 18:48:06.700000+00:00,YES,,0.6,,199.68
2026-03-26 18:48:06.700000+00:00,YES,,0.63,,758.78
2026-03-26 18:48:06.700000+00:00,YES,,0.64,,1759.12
2026-03-26 18:48:06.700000+00:00,YES,,0.65,,500.0
2026-03-26 18:48:06.700000+00:00,YES,,0.66,,285.0
2026-03-26 18:48:06.700000+00:00,YES,,0.67,,606.06
2026-03-26 18:48:06.700000+00:00,YES,,0.68,,799.62
2026-03-26 18:48:06.700000+00:00,YES,,0.69,,3375.81
2026-03-26 18:48:06.700000+00:00,YES,,0.7,,49425.0
2026-03-26 18:48:06.700000+00:00,YES,,0.71,,48.0
2026-03-26 18:48:06.700000+00:00,YES,,0.72,,1250.91
2026-03-26 18:48:06.700000+00:00,YES,,0.74,,846.0
2026-03-26 18:48:06.700000+00:00,YES,,0.75,,518.33
2026-03-26 18:48:06.700000+00:00,YES,,0.76,,4337.0
2026-03-26 18:48:06.700000+00:00,YES,,0.77,,8722.29
2026-03-26 18:48:06.700000+00:00,YES,,0.78,,3333.0
2026-03-26 18:48:06.700000+00:00,YES,,0.79,,58821.44
2026-03-26 18:48:06.700000+00:00,YES,,0.8,,2109.56
2026-03-26 18:48:06.700000+00:00,YES,,0.81,,1936.42
2026-03-26 18:48:06.700000+00:00,YES,,0.82,,433.33
2026-03-26 18:48:06.700000+00:00,YES,,0.84,,416.0
2026-03-26 18:48:06.700000+00:00,YES,,0.85,,3047.61
2026-03-26 18:48:06.700000+00:00,YES,,0.86,,2583.56
2026-03-26 18:48:06.700000+00:00,YES,,0.87,,676.0
2026-03-26 18:48:06.700000+00:00,YES,,0.88,,128.0
2026-03-26 18:48:06.700000+00:00,YES,,0.89,,150.0
2026-03-26 18:48:06.700000+00:00,YES,,0.9,,28417.5
2026-03-26 18:48:06.700000+00:00,YES,,0.91,,4943.31
2026-03-26 18:48:06.700000+00:00,YES,,0.92,,757.96
2026-03-26 18:48:06.700000+00:00,YES,,0.93,,1139.86
2026-03-26 18:48:06.700000+00:00,YES,,0.94,,5673.96
2026-03-26 18:48:06.700000+00:00,YES,,0.95,,31300.54
2026-03-26 18:48:06.700000+00:00,YES,,0.96,,1512.0
2026-03-26 18:48:06.700000+00:00,YES,,0.97,,260.0
2026-03-26 18:48:06.700000+00:00,YES,,0.98,,6265.0
2026-03-26 18:48:06.700000+00:00,YES,,0.99,,36108.87
