snapshot_ts,outcome,price_bucket,bid_traded_size,ask_traded_size,total_traded_size,net_aggressor_buy
2026-03-26 15:57:20+00:00,NO,0.89,12.66,0.0,12.66,-12.66
2026-03-26 15:57:35+00:00,NO,0.9,0.0,1.11111,1.11111,1.11111
2026-03-26 15:57:40+00:00,YES,0.1,1.5,0.0,1.5,-1.5
2026-03-26 15:58:05+00:00,NO,0.9,0.0,2.244443,2.244443,2.244443
2026-03-26 15:58:45+00:00,NO,0.89,100.0,0.0,100.0,-100.0
2026-03-26 15:59:35+00:00,YES,0.09,55.35,0.0,55.35,-55.35
2026-03-26 15:59:50+00:00,YES,0.09,17.26,0.0,17.26,-17.26
2026-03-26 15:59:55+00:00,NO,0.91,0.0,139.549444,139.549444,139.549444
2026-03-26 16:00:05+00:00,YES,0.11,0.0,100.0,100.0,100.0
2026-03-26 16:00:20+00:00,NO,0.91,0.0,106.736255,106.736255,106.736255
2026-03-26 16:00:30+00:00,YES,0.1,0.0,203.0,203.0,203.0
2026-03-26 16:00:35+00:00,NO,0.9,0.0,5.0,5.0,5.0
2026-03-26 16:00:35+00:00,YES,0.1,2.0,0.0,2.0,-2.0
2026-03-26 16:01:00+00:00,YES,0.09,26.51,0.0,26.51,-26.51
2026-03-26 16:01:30+00:00,NO,0.89,13.0,0.0,13.0,-13.0
2026-03-26 16:02:00+00:00,NO,0.89,22.98,0.0,22.98,-22.98
2026-03-26 16:02:30+00:00,YES,0.1,285.71,0.0,285.71,-285.71
2026-03-26 16:03:25+00:00,NO,0.9,0.0,33.333332,33.333332,33.333332
2026-03-26 16:05:40+00:00,NO,0.9,0.0,2.222221,2.222221,2.222221
2026-03-26 16:06:50+00:00,NO,0.9,0.0,149.088887,149.088887,149.088887
2026-03-26 16:07:10+00:00,YES,0.1,10000.0,0.0,10000.0,-10000.0
2026-03-26 16:07:20+00:00,YES,0.1,276.0,0.0,276.0,-276.0
2026-03-26 16:07:40+00:00,NO,0.89,6.18,0.0,6.18,-6.18
2026-03-26 16:07:50+00:00,YES,0.11,0.0,27.272726,27.272726,27.272726
2026-03-26 16:08:35+00:00,YES,0.1,15.38,0.0,15.38,-15.38
2026-03-26 16:09:30+00:00,NO,0.9,0.0,3141.5,3141.5,3141.5
2026-03-26 16:10:25+00:00,NO,0.9,0.0,111.11111,111.11111,111.11111
2026-03-26 16:10:50+00:00,NO,0.89,5.81,0.0,5.81,-5.81
2026-03-26 16:10:50+00:00,NO,0.9,0.0,15.155548,15.155548,15.155548
2026-03-26 16:10:55+00:00,NO,0.9,0.0,23.303324,23.303324,23.303324
2026-03-26 16:11:00+00:00,NO,0.9,0.0,6.644442,6.644442,6.644442
2026-03-26 16:14:35+00:00,NO,0.9,0.0,1.11111,1.11111,1.11111
2026-03-26 16:14:55+00:00,YES,0.1,500.0,0.0,500.0,-500.0
2026-03-26 16:15:35+00:00,NO,0.9,0.0,555.555554,555.555554,555.555554
2026-03-26 16:15:45+00:00,NO,0.9,0.0,30.735554,30.735554,30.735554
2026-03-26 16:15:45+00:00,YES,0.11,0.0,9090.909089,9090.909089,9090.909089
2026-03-26 16:15:50+00:00,NO,0.9,0.0,151.68110099999998,151.68110099999998,151.68110099999998
2026-03-26 16:15:55+00:00,NO,0.9,0.0,43.955547,43.955547,43.955547
2026-03-26 16:16:00+00:00,NO,0.9,0.0,1.11111,1.11111,1.11111
2026-03-26 16:16:05+00:00,NO,0.9,0.0,749.11,749.11,749.11
2026-03-26 16:16:15+00:00,NO,0.9,0.0,11.11111,11.11111,11.11111
2026-03-26 16:16:30+00:00,NO,0.9,0.0,2.31111,2.31111,2.31111
2026-03-26 16:16:45+00:00,NO,0.9,0.0,500.0,500.0,500.0
2026-03-26 16:16:55+00:00,NO,0.9,0.0,11.11111,11.11111,11.11111
2026-03-26 16:17:35+00:00,YES,0.11,0.0,1818.181817,1818.181817,1818.181817
