bucket,outcome,volume_tokens,volume_notional_usdc
2026-03-26 15:57:20+00:00,NO,12.66,11.2674
2026-03-26 15:57:35+00:00,NO,1.11111,0.9999990000000001
2026-03-26 15:57:40+00:00,YES,1.5,0.15000000000000002
2026-03-26 15:58:05+00:00,NO,2.244443,2.019998
2026-03-26 15:58:45+00:00,NO,100.0,89.0
2026-03-26 15:59:35+00:00,YES,55.35,4.9815
2026-03-26 15:59:50+00:00,YES,17.26,1.5534000000000001
2026-03-26 15:59:55+00:00,NO,139.549444,126.98999400000001
2026-03-26 16:00:05+00:00,YES,100.0,10.95
2026-03-26 16:00:20+00:00,NO,106.736255,97.129992
2026-03-26 16:00:30+00:00,YES,203.0,20.3
2026-03-26 16:00:35+00:00,NO,5.0,4.5
2026-03-26 16:00:35+00:00,YES,2.0,0.2
2026-03-26 16:01:00+00:00,YES,26.51,2.4359
2026-03-26 16:01:30+00:00,NO,13.0,11.57
2026-03-26 16:02:00+00:00,NO,22.98,20.4522
2026-03-26 16:02:30+00:00,YES,285.71,28.570999999999998
2026-03-26 16:03:25+00:00,NO,33.333332,29.999997999999998
2026-03-26 16:05:40+00:00,NO,2.222221,1.9999979999999997
2026-03-26 16:06:50+00:00,NO,149.088887,134.179998
2026-03-26 16:07:10+00:00,YES,10000.0,1000.0
2026-03-26 16:07:20+00:00,YES,276.0,27.6
2026-03-26 16:07:40+00:00,NO,6.18,5.5001999999999995
2026-03-26 16:07:50+00:00,YES,27.272726,2.999999
2026-03-26 16:08:35+00:00,YES,15.38,1.5380000000000003
2026-03-26 16:09:30+00:00,NO,3141.5,2827.3500000000004
2026-03-26 16:10:25+00:00,NO,111.11111,99.999999
2026-03-26 16:10:50+00:00,NO,20.965548,18.810888
2026-03-26 16:10:55+00:00,NO,23.303324,20.972987
2026-03-26 16:11:00+00:00,NO,6.644442,5.979997
2026-03-26 16:14:35+00:00,NO,1.11111,0.9999990000000001
2026-03-26 16:14:55+00:00,YES,500.0,50.0
2026-03-26 16:15:35+00:00,NO,555.555554,499.99999800000006
2026-03-26 16:15:45+00:00,NO,30.735554,27.661998
2026-03-26 16:15:45+00:00,YES,9090.909089,999.9999990000001
2026-03-26 16:15:50+00:00,NO,151.68110099999998,136.512986
2026-03-26 16:15:55+00:00,NO,43.955547,39.55999
2026-03-26 16:16:00+00:00,NO,1.11111,0.9999990000000001
2026-03-26 16:16:05+00:00,NO,749.11,674.1990000000001
2026-03-26 16:16:15+00:00,NO,11.11111,9.999999
2026-03-26 16:16:30+00:00,NO,2.31111,2.0799990000000004
2026-03-26 16:16:45+00:00,NO,500.0,450.0
2026-03-26 16:16:55+00:00,NO,11.11111,9.999999
2026-03-26 16:17:35+00:00,YES,1818.181817,199.99999899999997
2026-03-26 16:18:15+00:00,NO,49.54,44.586
2026-03-26 16:19:10+00:00,NO,2.42222,2.179998
2026-03-26 16:19:35+00:00,NO,10000.0,9000.0
2026-03-26 16:19:40+00:00,YES,136.36,14.999600000000001
2026-03-26 16:20:00+00:00,YES,15.15,1.5150000000000001
2026-03-26 16:20:05+00:00,YES,3.7,0.37000000000000005
2026-03-26 16:20:55+00:00,YES,952.29,95.229
2026-03-26 16:21:20+00:00,YES,56.42,5.642
2026-03-26 16:21:30+00:00,NO,33.33,29.6637
2026-03-26 16:22:00+00:00,YES,1008.57,110.9427
2026-03-26 16:22:10+00:00,YES,6.66,0.666
2026-03-26 16:22:25+00:00,YES,7.0,0.7000000000000001
2026-03-26 16:23:00+00:00,YES,9.09,0.909
2026-03-26 16:23:25+00:00,NO,638.84,568.5676000000001
2026-03-26 16:23:35+00:00,NO,4386.32,3903.8248
2026-03-26 16:24:00+00:00,NO,1040.01,936.009
2026-03-26 16:24:55+00:00,NO,50.0,45.0
2026-03-26 16:25:45+00:00,YES,8121.8,730.962
